KPIs,Lead,Goal,Status,Start Date ,End Date,Notes,,,,,,,,,,,,,,,,,,,
Secure six or seven-figure individual or corporate gift/sponsorship for Joe Walton Stadium Turf project.,Steve; TJ,Six or Seven-Figure Gift,In Progress,6/1/2025,5/31/2026,,,,,,,,,,,,,,,,,,,,
"Securing a corporate partner for the ""Bobby Mo Student Rewards Program"" (target: minimum $15,000).",Steve; TJ,$15K+ Sponsor,In Progress,6/1/2025,5/31/2026,"FY26 Goal: $15,000 / As of 9.4.25: $0
Q1 Target 8.31.25:  $3,750
Q2 Target 11.30.25: $3,750
Q3 Target 2.28.26: $3,750
Q4 Target 5.31.26: $3,750",,,,,,,,,,,,,,,,,,,
"Securing a corporate dollars for Pittsburgh Sports Net Inventory (target: minimum $20,000).",Steve; TJ,"$20,000+",In Progress,6/1/2025,5/31/2026,"FY26 Goal: $20,000 / As of 9.4.25: $0
Q1 Target 8.31.25:  $5,000
Q2 Target 11.30.25: $5,000
Q3 Target 2.28.26: $5,000
Q4 Target 5.31.26: $5,000",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Generation ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Launch at least five (5) initiatives or revenue generating opportunities for the 50-year anniversary of RMU Athletics. ,50-Year Anniversary Ad Hoc Committee,5 NEW Initiatives ,COMPLETE ,6/1/2025,5/31/2026,"1. Special GOLD RMU Logos
2. $50 Flex Plan for 4 Tickets
3. 50th Season Pop-Up Shop
4. 50th Anniversary Logo Cookies
5. 50th Anniversary Commemorative Ticket
6. Promote Bobby Mo Brand 
7.  Add Additional NEW Initiatives (TJ/Stephen)

",,,,,,,,,,,,,,,,,,,
Launch at least three (3) NEW initiatives or revenue generating opportunities. ,Revenue Generation Team ,3 NEW Initiatives ,,6/1/2025,5/31/2026,"1. 
2. 
3. 
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Ticket Sales (FY26 Budget Number = $205,300 without hockey; $314,950 for hockey)",,,,,,,,,,,,,,,,,,,,,,,,,
"Increase total cash revenue to: $314,950
- Football $56,000
- Men's Basketball $126,800
- Women's Basketball $22,500
- Men's Hockey: $88,150
- Women's Hockey: $21,500",Zach/Taymar ," $314,950 "," $88,946 ",6/1/2025,5/31/2026,"FY26 Goal: $314,950 
Q1 Target 8.31.25:  $104,984
Q2 Target 11.30.25: $209,966
Q3 Target 4.1.26: $314,950

As of 9.4.25: $83,495
- Football $16,821
- Men's Basketball $46,125
- Women's Basketball $4,200
- Men's Hockey: $18,100
- Women's Hockey: $3,700",,,,,,,,,,,,,,,,,,,
"Increase total cash for renewals to: $70,000
",Zach/Taymar ," $70,000 "," $51,575 ",6/1/2025,5/31/2026," FY26 Goal: $70,000
Q1 Target 8.31.25:  $52,101
Q2 Target 11.30.25: $70,000
Q3 Target 2.28.26: $TBD for FY27
Q4 Target 5.31.26: $TBD for FY27
 
As of 9.4.25: $51,575",,,,,,,,,,,,,,,,,,,
"Increase overall season ticket sales to: $126,000",Zach/Taymar ," $126,000 "," $75,068 ",6/1/2025,5/31/2026,"FY26 Goal: $26,000
Q1 Target 8.31.25:  $94,500
Q2 Target 11.30.25: $126,000
Q3 Target 2.28.26: 
Q4 Target 5.31.26: $TBD for FY27
 
As of 9.4.25: $75,175",,,,,,,,,,,,,,,,,,,
"Increase new season ticket sales to: $56,000",Zach/Taymar ," $56,000 "," $23,493 ",6/1/2025,5/31/2026,"FY26 Goal: $56,000
Q1 Target 8.31.25:  $42,000
Q2 Target 11.30.25: $56,000
Q3 Target 2.28.26: 
Q4 Target 5.31.26: $TBD for FY27
 
As of 9.4.25: $23,493",,,,,,,,,,,,,,,,,,,
Renew % of FY25 season ticket holders per sport: 80%,Zach/Taymar ,80% Renewal,TBD ,6/1/2025,5/31/2026,"FY26 Goal: 80%
Q1 Target 8.31.25:  60%
Q2 Target 11.30.25: 80%
Q3 Target 2.28.26: 
Q4 Target 5.31.26: 40% for FY27
 
As of 9.4.25: TBD%",,,,,,,,,,,,,,,,,,,
"Increase total group ticket sales to: $58,000",Zach/Taymar ," $58,000 ", $976 ,6/1/2025,5/31/2026,"FY26 Goal: $58,000
Q1 Target 8.31.25:  $29,000
Q2 Target 11.30.25: $43,500
Q3 Target 2.28.26: $58,000
Q1 Target FY27 5.31.26: $TBD
 
As of 9.4.25: $580",,,,,,,,,,,,,,,,,,,
"Increase total group tickets to: 7,000",Zach/Taymar ,"7,000",66,6/1/2025,5/31/2026,"FY26 Goal: 7,000
Q1 Target 8.31.25:  3,500
Q2 Target 11.30.25: 5,250
Q3 Target 2.28.26: 7,000
Q1 Target FY27 5.31.26: $TBD
 
As of 9.4.25: $580",,,,,,,,,,,,,,,,,,,
Launch at least three (3) NEW initiatives or revenue generating opportunities,Zach/Taymar ,3 NEW Initiatives,,6/1/2025,5/31/2026,"1. $50 Flex Plan 
2. ""YOUTH"" Day Games
3. Stars of Honor School Program 
4. Add Additional NEW Initiatives (TJ)",,,,,,,,,,,,,,,,,,,
"Creation of targeted annual home average attendance percentage goals for each sport's competitive season (i.e., football, basketball, hockey).",Zack/TJ ,"Target Goals: 
Football: Goal -  2,205 avg. 
Men's Basketball: Goal - 1,758 avg. 
Women's Basketball: Goal - 725 avg.
Men's Hockey: Goal - 758 avg.
Women's Hockey: Goal 409 avg.","Actual: 
Football: 2,557 avg. 
Men's Basketball: X avg. 
Women's Basketball: X avg.
Men's Hockey: X avg.
Women's Hockey: X avg.",6/1/2025,5/31/2026,"Stretch Goals: 
Football: 2,280 avg. 
Men's Basketball: 1,858 avg. 
Women's Basketball: 825 avg.
Men's Hockey: 783 avg.
Women's Hockey: 434 avg.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data Analytics - Social Followers,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter X,Stephen,10% Increase / 96235,"3% / 90541 
(On Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year 10.97%) 
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
Instagram,Stephen,"20% Increase / 72,578","9.12% / 62,227 
(On Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year 24%)
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
Tik Tok,Stephen ,"200% Increase / 3,432","16% / 1,330
(Behind Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year 244%)
71% of Year Remaining
",,,,,,,,,,,,,,,,,,,
Facebook,Stephen ,"7% Increase / 9,112","2.45% / 8,684
(On Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year 6.7%)
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
LinkedIn,Stephen ,"25% Increase / 1,155","4.25% / 945
(Behind Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year 35%)
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
RMU Athletics Gameday App,Stephen ,"20% Increase / 12,060","1.26% / 10,300
(Behind Target)",6/1/2025,5/30/2026,"As of 9/1/25 (last year 26%)
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Merchandise,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26 Pop-Up Shop Sales,Stephen ,"34.6% to goal / $45,000","$15,594 / $45,000
(On Target)",6/1/2025,5/30/2026,"As of 9/16/25 (last year $45,200)
71% of Year Remaining",,,,,,,,,,,,,,,,,,,
Affinity Q4 24-25 Royalties,Stephen ,"Gross $7,872.89","Net $5,904.67",,,"Reported on 9/15/25: Top licensees: Champion, Under Armour, Advanced-Online",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter (Monthly Report),Posts,Impressions,Timeframe,Date,,,,,,,,,,,,,,,,,,,,,
RMU_Football,99,"314,473",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUMBasketball,31,"207,258",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUWBasketball,64,"185,819",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUMHockey,51,"166,499",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUWSoccer,97,"158,001",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUSoftball,46,"105,274",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUAthletics,31,"83,327",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUWHockey,38,"53,024",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUMSoccer,94,"49,339",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUVolleyball,133,"37,967",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUMLacrosse,19,"23,620",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUWLacrosse,18,"12,899",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUTF_XC,13,"5,337",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMUGolf,9,"2,136",6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
RMURowing,3,591,6/1/25 - 5/30/26,As of 9/15/25,,,,,,,,,,,,,,,,,,,,,
Total Twitter,746,"1,405,564",-,(last year 8.5M),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Instagram (Monthly Report),Posts,Views,Timeframe,Date,,,,,,,,,,,,,,,,,,,,,
RMU_Football,29,"1,104,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUMBasketball,23,"756,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUWHockey,30,"647,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUMSoccer,59,"550,800",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUWBasketball,46,"452,776",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUMHockey,26,"477,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUWLacrosse,15,"249,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUTF_XC,9,"209,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUMLacrosse,8,"257,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUAthletics,11,"123,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUVolleyball,32,"362,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUSoftball,12,"102,000",6/1/25 - 5/30/26,As of 7/31/25,,,,,,,,,,,,,,,,,,,,,
RMURowing,12,"89,000",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUGolf,1,"13,678",6/1/25 - 5/30/26,As of 9/1/25,,,,,,,,,,,,,,,,,,,,,
RMUWSoccer,47,"580,000",6/1/25 - 5/30/26,As of 7/31/25,,,,,,,,,,,,,,,,,,,,,
Total Twitter,360,"5,972,254",-,As of 7/31/25,,,,,,,,,,,,,,,,,,,,,
